"portal","suchbegriff","titel","auftraggeber","veroeffentlichungsdatum","frist","beschreibung","link"
"USP Bund","Regionalentwicklung","BAI0.NAA7770.20 Werndorf - Lebring - G 29308 - UVE Koordination","ÖBB-Infrastruktur AG","2025-03-04","","","tender-detail?object=505019f6-4c66-4ce4-9700-a5ed3cf664c3-9d7b5831-deab-4093-9fc7-0adfaf873fed&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","BAW29919 Krumpendorf; Machtbarkeitsstudie für EK Auflassungen im Gde-Gebiet, km 131,686 - km 136,063 - Machbarkeitsstudie für EK-Auflassungen","ÖBB-Infrastruktur AG","2024-12-05","","","tender-detail?object=505019f6-4c66-4ce4-9700-a5ed3cf664c3-1fe06925-369c-4bbe-9414-d1b09e45151e&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","Interessentensuche für einen Betreiber der Fossilienwelt GmbH am Standort Stetten","Regionalentwicklungsverein ""10 vor Wien - Donau Raum Weinviertel""","2024-12-02","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-506094bc-e7d5-4b8a-95fd-ebed406e1945&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","Wagna - Staatsgrenze n. Spielfeld-Straß; zweigleisiger Ausbau; Planung (Phase 2) - WS-S_UVE FB Mensch, Tourismus, Raumplanung","ÖBB-Infrastruktur AG","2024-10-08","","","tender-detail?object=505019f6-4c66-4ce4-9700-a5ed3cf664c3-1bc2a38d-8205-478b-bf58-71d01a952a45&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","Begleitung von Prozessen zur Stärkung von Orts- und Stadtkernen im Bezirk Reutte","Verein Regionalentwicklung Außerfern - REA","2024-07-02","","","tender-detail?object=23602b0b-c7b0-4f10-9910-7ee5329433bc-019072bd-7d95-4e6c-9ab9-ae872b4a61f3&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","BAUP.7780, Werndorf - Weitendorf & BAUP.7766, Weitendorf - Wettmannstätten - G28202 Datenbank für UVP-Maßnahmen, Synthesebericht für Betriebsbewilligung","ÖBB-Infrastruktur AG","2024-04-30","","","tender-detail?object=505019f6-4c66-4ce4-9700-a5ed3cf664c3-f826e9b9-da19-4281-9f53-dc2cdff41b4a&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","Ausschreibung zum Abschluss eines Lieferauftrages zur Beschaffung von digitalen Amtstafeln für Gemeinden des Vereins Regionalentwicklung Pinzgau","Verein Regionalentwicklung Pinzgau","2024-04-24","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-b4a4aa3f-adb1-44e6-aba1-07e99ea1dbf2&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","AMR002 Staatsgrenze nächst Jennersdorf - Graz Hbf, Elektrifizierung - Umweltbericht","ÖBB-Infrastruktur AG","2024-04-16","","","tender-detail?object=505019f6-4c66-4ce4-9700-a5ed3cf664c3-ed1ad7ad-1860-4b31-903a-9b3df9cbb83c&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","BAI0.NAA7770.20 Werndorf - Lebring - Genehmigungstatbestände und Umweltfachbeiträge","ÖBB-Infrastruktur AG","2024-04-10","","","tender-detail?object=505019f6-4c66-4ce4-9700-a5ed3cf664c3-292bc768-f693-4e2f-b66c-dbae2b5ebf6c&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","110-kV-Netzerneuerung Mittelkärnten UVE Fachbereich ""Raumordnung""","KNG-Kärnten Netz GmbH","2023-11-23","","","tender-detail?object=fde58043-87ff-44b0-b6b0-3d089adfba4c-FN_246961d_BVergG-VIII-2-Z1_991604&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","110-kV-Netzerneuerung Mittelkärnten UVE Fachbereich ""Landschaft""","KNG-Kärnten Netz GmbH","2023-11-21","","","tender-detail?object=fde58043-87ff-44b0-b6b0-3d089adfba4c-FN_246961d_BVergG-VIII-2-Z1_429614&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","Einführung und Testung eines digital unterstützten, breit getragenen, regional verankerten Innovationsprozesses im Rahmen des Piloten ""Regionalentwicklung Kreislaufwirtschaft""","Bundesministerium für Finanzen","2023-06-06","","","tender-detail?object=23602b0b-c7b0-4f10-9910-7ee5329433bc-647e5b4d4d1dfd6a30da9fb0&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","Rahmenvereinbarung für die Erweiterung von E-Paper-Technologie für dynamische Fahrgastinformation an Haltestellen","Regionalverband Pinzgau - Verein Regionalentwicklung Pinzgau","2023-05-07","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-f7f83f95-b4e6-4f91-990d-d2e86152fecd&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","Begleitende Beratung und operative Mitwirkung an Vorbereitung und Umsetzung einer Initiative zur Unterstützung von regionalen Informationssystemen (RESI) in zwei ausgewählten Tourismuspilotregionen","Bund, vertreten durch den Bundesminister für Arbeit und Wirtschaft und den Bundesminister für Land- und Forstwirtschaft, Regionen und Wasserwirtschaft","2023-04-26","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-a72550c4-1c29-4faa-b52b-5c114284f8ea&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","Generalunternehmerverfahren Ressourcenpark Hönigsberg – Mürzverband“","Wasserverband Mürzverband undAbfallwirtschaftsverband Mürzverband","2023-02-20","2023-03-10","","tender-detail?object=23602b0b-c7b0-4f10-9910-7ee5329433bc-63f2aa6faa12d3c1ef3c8f71&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","Rahmenvereinbarung UVP/UVE Koordinator EWG und EKV","ENERGIE GRAZ GMBH & CO KG","2023-01-19","","","tender-detail?object=fde58043-87ff-44b0-b6b0-3d089adfba4c-FN_234711_p_BVergG-VIII-2-Z1_296862&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","BAI0.AMP002.03: Flughafen Wien - Ostbahn; Errichtung Verbindungsstrecke, UVP Genehmigungsplanung - Neuvergabe FB Regionalentwicklung und Ortsplanung","ÖBB-Infrastruktur AG","2022-09-21","","","tender-detail?object=505019f6-4c66-4ce4-9700-a5ed3cf664c3-526f210f-48f3-47e5-9d95-dd291233d3bd&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","Rahmenvereinbarung für Sicherheitsdienstleistungen ""Gemeindestreife"" Pinzgau","Regionalverband Pinzgau - Verein Regionalentwicklung Pinzgau","2022-09-21","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-bd7740a9-dd75-4b10-8b01-dafd18262329&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","Rahmenvereinbarung Freies Radio Pinzgau","Regionalverband Pinzgau - Verein Regionalentwicklung Pinzgau","2022-07-27","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-336ba996-678b-4ac7-a7ff-1167a8aa34bc&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","Rahmenvereinbarung für Pflegedienstleistungen COMMUNITY NURSE","Regionalverband Pinzgau - Verein Regionalentwicklung Pinzgau","2022-06-05","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-d1287886-d7cc-42dc-8d24-199e1628f35a&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","Koralmbahn Graz - Klagenfurt, Koralmtunnel - Koralmtunnel, Implementierung BÜK","ÖBB-Infrastruktur AG","2022-02-02","","","tender-detail?object=505019f6-4c66-4ce4-9700-a5ed3cf664c3-6deb75fd-c583-4573-b9a9-e66160a0be99&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Regionalentwicklung","Entwicklung und Integration von Crowdfunding Tools in die Plattform WeLocally.at zur Unterstützung lokaler Akteur:innen im ländlichen Raum","Bundesministerium für Landwirtschaft, Regionen und Tourismus (BMLRT)","2021-11-24","","","tender-detail?object=23602b0b-c7b0-4f10-9910-7ee5329433bc-619d72d67a5475faae7adc17&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVJlZ2lvbmFsZW50d2lja2x1bmcmbG9hZGVkPXRydWU=&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","40B-02089 Projektsteuerung, KZ-Gedenkstätte Gusen, Georgestrasse 7, 4222 Langenstein","Burghauptmannschaft Österreich","2026-03-31","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-07ed2b89-b79c-42b5-9f57-3b0f669f51a0&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","Abruf aus Rahmenvereinbarung ITPMPE2021, Los 1, 4233653","Bundesrechenzentrum GmbH","2026-03-31","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-c8bd7f15-89f2-4db2-8d9a-4339f8672954&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","Abruf aus Rahmenvereinbarung SAPDL2022, TL1, 4233691","Bundesrechenzentrum GmbH","2026-03-31","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-3b2a42db-7eed-422e-89e1-e91709661800&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","Abruf aus Rahmenvereinbarung SAPDL2022, TL1, 4233710","Bundesrechenzentrum GmbH","2026-03-31","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-efe7110a-977a-4a82-92f5-98f98f996b0b&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","Abruf aus Rahmenvereinbarung SAPDL2022, TL3, 4233766","Bundesrechenzentrum GmbH","2026-03-31","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-6a2bc009-695d-4c6d-aac5-134cd3e2f91d&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","Generalunternehmer (""GU"") für die Herstellung, Lieferung und Montage hochwertiger Möblierungs- und Ausstattungsleistungen für die Büroräumlichkeiten der Auftraggeberin","Schloß Schönbrunn Kultur- u. Betriebsges.m.b.H.","2026-03-31","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-0f5dbe08-9fe4-497c-8d93-6f43c2d60382&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","Unterstützungsleistung Projektmanagement, Projekt-Consultant & fachliche(r) IT-ExpertIn (FAEXP-IT)","Bundesministerium für Finanzen","2026-03-31","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-107562c1-36d1-4611-85de-ea540bea0dde&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","23., Pülslgasse 3","Stadt Wien - Wiener Wohnen","2026-03-27","2026-04-27","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-68cce7ad-fe1c-457d-b3ce-76479e76df93&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","A13 ASt Ibk Süd Sicherheitsumbau, km 2,3 – 3,6 - TPS (Technische Projektsteuerung) + ÖBA","Autobahnen- und Schnellstraßen-Finanzierungs-Aktiengesellschaft","2026-03-27","2026-04-27","","tender-detail?object=41a809d9-0b61-4991-86b8-74dc07973af3-6cb9b0bf-e05e-4d9e-9e6e-2c3d478c2095&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","10., Kudlichgasse 12, Schrankenberggasse 22, Puchsbaumgasse 11-13","Stadt Wien - Wiener Wohnen","2026-03-26","2026-04-27","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-91c4b942-5db8-4f9c-8f98-f9b9d5b7bddc&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","20., Treustraße 61-69","Stadt Wien - Wiener Wohnen","2026-03-26","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-463e21d3-22fd-456d-ab8e-5cafc49bdbc8&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","10., Bürgergasse 10","Stadt Wien - Wiener Wohnen","2026-03-24","2026-04-27","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-2e90c367-0316-4462-9850-65d3a771e18b&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","DiVi_Change- und Projektmanagement","ASFINAG Maut Service GmbH","2026-03-24","","","tender-detail?object=41a809d9-0b61-4991-86b8-74dc07973af3-d701b5f9-8085-4e1c-90ef-32ad6b3772f2&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","FSW_Rahmenvereinbarung Consultingleistungen (ROD2415)","Fonds Soziales Wien","2026-03-24","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-210c6aa7-5356-4d2c-9333-6108d48b3c54&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","S 10 Mühlviertler Schnellstraße Freistadt Nord – Rainbach Nord - Bau- und hydrogeologische Dokumentation – Tunnel und Freiland","Autobahnen- und Schnellstraßen-Finanzierungs-Aktiengesellschaft","2026-03-23","","","tender-detail?object=41a809d9-0b61-4991-86b8-74dc07973af3-2f412be6-df32-4046-b89b-a621e10b65c3&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","Abruf aus Rahmenvereinbarung ITPMPE2021, Los 1, 4233684","Bundesrechenzentrum GmbH","2026-03-22","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-4861c543-0e2a-4eb9-bd81-a10ad1cc0d83&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","10., Wendstattgasse 7","Stadt Wien - Wiener Wohnen","2026-03-19","2026-04-20","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-ef497947-22f6-4318-ad48-cc6ad4f110a8&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","AKÜ 2023","Umweltbundesamt GmbH","2026-03-19","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-b2df6648-b711-4d65-80cf-b30680d03fc1&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","Dienstleistungskontingent (100 Personentage)","Österreichisches Patentamt","2026-03-16","","","tender-detail?object=009b7802-0b04-4fee-8dac-3922bd5098ae-KD_2296454&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","Rahmenvereinbarung - Lean Management Österreich 2023-2025 (2026,2027) - Los 3 - Region Tirol & Vorarlberg","Autobahnen- und Schnellstraßen-Finanzierungs-Aktiengesellschaft","2026-03-16","","","tender-detail?object=41a809d9-0b61-4991-86b8-74dc07973af3-b1da59e9-1476-4c0c-a8cd-002e26f53f33&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","A10, HMS+NMS, Lean Management","Autobahnen- und Schnellstraßen-Finanzierungs-Aktiengesellschaft","2026-03-13","","","tender-detail?object=41a809d9-0b61-4991-86b8-74dc07973af3-68771ee9-6417-467f-84de-63fd4f8697d2&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","Abruf aus Rahmenvereinbarung Projektmanagement Dienstleistungen","ÖBB Business Competence Center GmbH","2026-03-13","","","tender-detail?object=505019f6-4c66-4ce4-9700-a5ed3cf664c3-14851c03-1827-4875-a573-1777d8342ace&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","1. Abruf aus Rahmenvereinbarung für Lizensierung von DPW Software Produkten","Umweltbundesamt GmbH","2026-03-12","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-9535c1ec-4aca-44c9-a970-4b82bd54f2a9&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","23., Elisenstraße 24-26","Stadt Wien - Wiener Wohnen","2026-03-12","","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-af2feaa4-fa55-4cd7-a91d-8b5087d7cf7c&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
"USP Bund","Projektmanagement","12., Hohenbergstraße 34, 12., Hohenbergstraße 36-38, 12., Hohenbergstraße 40","Stadt Wien - Wiener Wohnen","2026-03-11","2026-04-13","","tender-detail?object=a2c49245-23b2-46e1-acc7-c5a78913a090-bce09f90-9b5f-44bc-a6b3-819cc9bb7f48&backlink=L2F0Lmd2LmJtZHcuZXByb2MtcC9wdWJsaWMvdGVuZGVybGlzdD9xPVByb2pla3RtYW5hZ2VtZW50JmxvYWRlZD10cnVl&orderColumn=2&orderDir=desc&start=0"
