"portal","suchbegriff","titel","auftraggeber","veroeffentlichungsdatum","frist","beschreibung","link"
"Burgenland","Raumplanung","018-03 Landesmuseum Bgld. - Generalsanierung - Malerarbeiten","LIB - Landesimmobilien Burgenland GmbH","","17 Apr. 2026 09:00","018-03 Landesmuseum Bgld. - Generalsanierung - Malerarbeiten Art der Bekanntmachung: Auftragsbekanntmachung Auftraggeber: LIB - Landesimmobilien Burgenland GmbH","https://burgenland.vergabeportal.at/List/Detail/239453-00"
"Burgenland","Raumplanung","Fahrleitungsmasten Sanierung Baumgarten","Raab-Oedenburg-Ebenfurter-Eisenbahn AG","","","Fahrleitungsmasten Sanierung Baumgarten Art der Bekanntmachung: Bekanntgabe vergebener Aufträge (USB) Auftraggeber: Raab-Oedenburg-Ebenfurter-Eisenbahn AG","https://burgenland.vergabeportal.at/List/Detail/238949-00"
"Burgenland","Raumplanung","018-03 Landesmuseum Bgld. - Generalsanierung - Natursteinarbeiten","LIB - Landesimmobilien Burgenland GmbH","","13 Apr. 2026 09:00","018-03 Landesmuseum Bgld. - Generalsanierung - Natursteinarbeiten Art der Bekanntmachung: Auftragsbekanntmachung Auftraggeber: LIB - Landesimmobilien Burgenland GmbH","https://burgenland.vergabeportal.at/List/Detail/239225-00"
"Burgenland","Raumplanung","Hochbehälter Jois - Außensanierung","Wasserleitungsverband Nördliches Burgenland","","09 Apr. 2026 10:00","Hochbehälter Jois - Außensanierung Art der Bekanntmachung: Auftragsbekanntmachung Auftraggeber: Wasserleitungsverband Nördliches Burgenland","https://burgenland.vergabeportal.at/List/Detail/239278-00"
"Burgenland","Raumplanung","Land Burgenland - Einsatzleitsystem","Amt der Burgenländischen Landesregierung","","","Land Burgenland - Einsatzleitsystem Art der Bekanntmachung: Bekanntmachung über Auftragsänderung – allgemeine Richtlinie Auftraggeber: Amt der Burgenländischen Landesregierung","https://burgenland.vergabeportal.at/List/Detail/236372-00"
"Burgenland","Raumplanung","So Wohnt Burgenland GmbH – Fliesenleger – Demenzzentrum Rechnitz","SOWO – So wohnt Burgenland GmbH","","08 Apr. 2026 12:00","So Wohnt Burgenland GmbH – Fliesenleger – Demenzzentrum Rechnitz Art der Bekanntmachung: Auftragsbekanntmachung Auftraggeber: SOWO – So wohnt Burgenland GmbH","https://burgenland.vergabeportal.at/List/Detail/238731-00"
"Burgenland","Raumplanung","Sanierung Transportleitung TL013 - Siegendorf – Eisenstadt, BA1-Trausdorf-Eisenstadt","Wasserleitungsverband Nördliches Burgenland","","01 Apr. 2026 10:00","Sanierung Transportleitung TL013 - Siegendorf – Eisenstadt, BA1-Trausdorf-Eisenstadt Art der Bekanntmachung: Auftragsbekanntmachung Auftraggeber: Wasserleitungsverband Nördliches Burgenland","https://burgenland.vergabeportal.at/List/Detail/238563-00"
"Burgenland","Raumplanung","Adaptierung Gewerk 3 – Mechanik & EMSR-Technik","Umweltdienst Burgenland GmbH","","02 Apr. 2026 12:00","Adaptierung Gewerk 3 – Mechanik & EMSR-Technik Art der Bekanntmachung: Auftragsbekanntmachung Auftraggeber: Umweltdienst Burgenland GmbH","https://burgenland.vergabeportal.at/List/Detail/238341-00"
"Burgenland","Raumplanung","WLVNB-WVMB ""Trinkwasserversorgung""","Wasserleitungsverband nördliches Burgenland","","02 Apr. 2026 10:00","WLVNB-WVMB ""Trinkwasserversorgung"" Art der Bekanntmachung: Auftragsbekanntmachung – Sektoren Auftraggeber: Wasserleitungsverband nördliches Burgenland","https://burgenland.vergabeportal.at/List/Detail/238076-00"
"Burgenland","Raumplanung","So Wohnt Burgenland GmbH –Trockenbau – Demenzzentrum Rechnitz","SOWO – So wohnt Burgenland GmbH","","02 Apr. 2026 12:00","So Wohnt Burgenland GmbH –Trockenbau – Demenzzentrum Rechnitz Art der Bekanntmachung: Auftragsbekanntmachung Auftraggeber: SOWO – So wohnt Burgenland GmbH","https://burgenland.vergabeportal.at/List/Detail/238201-00"
